"Krasnushkin_DonNaKostylyah" "Kryukov_NaTihomDonu1898" "Kryukov_RechkeLazor1911" "Kryukov_Tatarnik1919" "Kryukov_Vglubine1913" "Kryukov_VojskovojKrugIRossiya1918" "Kryukov_Zyb1909" "Sholokhov_Celina" "Sholokhov_Don1-2" "Sholokhov_Don3-4" "Sholokhov_Sudba"
"спросил" 0.0270910938029123 0.0526160018415601 0.0889503854516703 0 0.0215308429325008 0.0686813186813187 0.0408608008716971 0.127320954907162 0.103524020725824 0.141395693322841 0.0454008898574412
"потом" 0.0406366407043684 0.0920780032227301 0.138367266258154 0.119118522930316 0.0825348979079198 0 0.163443203486788 0.126838678562816 0.0567542854740559 0.145183077965417 0.190683737401253
"глаза" 0.0338638672536404 0.01315400046039 0.0691836331290769 0.119118522930316 0.061004054975419 0.137362637362637 0.0681013347861618 0.111405835543767 0.136105184609079 0.118250564951543 0.136202669572324
"казаки" 0.0270910938029123 0.111809003913315 0.0889503854516703 0 0.0466501596870851 0 0.0408608008716971 0.0245960935616108 0.189180951580186 0.13424174455353 0
"во" 0.162546562817474 0.14469400506429 0.0889503854516703 0 0.0861233717300032 0.137362637362637 0.0817216017433942 0.103689414034242 0.104049523369103 0.100155282770346 0.136202669572324
"раз" 0.101591601760921 0.11838600414351 0.11860051393556 0.297796307325789 0.18660063874834 0.0686813186813187 0.13166258058658 0.122980467808054 0.0819784123514141 0.0862682057475666 0.163443203486788
"чем" 0.0609549610565527 0.134828504718998 0.108717137774264 0.297796307325789 0.0789464240858363 0.0686813186813187 0.07718151275765 0.130696889317579 0.0830294176379707 0.0942637955485606 0.0544810678289294
"над" 0.0203183203521842 0.0559045019566576 0.128483890096857 0.416914830256105 0.125596583772921 0.0686813186813187 0.136202669572324 0.0819869785387027 0.136105184609079 0.0930013340010352 0.0272405339144647
"дело" 0.0406366407043684 0.121674504258608 0.128483890096857 0 0.0933003193741702 0 0.0544810678289294 0.160115746322643 0.0593817986904474 0.0807975390416234 0.118042313629347
"будет" 0.088046054859465 0.101943503568023 0.0494168808064835 0 0.0574155811533355 0.137362637362637 0.0817216017433942 0.128767783940198 0.0814529097081358 0.0955262570960859 0.036320711885953
"или" 0.250592617676939 0.286099510013483 0.14825064241945 0.297796307325789 0.125596583772921 0.137362637362637 0.122582402615091 0.115264046298529 0.0478207405383249 0.0786934364624144 0.0998819576863706
"для" 0.548594649508974 0.213752507481338 0.0395335046451868 0.0595592614651578 0.143538952883339 0 0.0635612458004177 0.0993489269351338 0.0698918515560133 0.071539487693104 0.0726414237719059
"после" 0.0541821876058246 0.111809003913315 0.0691836331290769 0.119118522930316 0.0430616858650016 0.0686813186813187 0.0454008898574412 0.082469254883048 0.100371004866154 0.110254975150549 0.108962135657859
"нам" 0.0338638672536404 0.0789240027623401 0.0296501284838901 0.119118522930316 0.0861233717300032 0.480769230769231 0.0227004449287206 0.111888111888112 0.0840804229245273 0.0997344622545038 0.0817216017433942
